ISO,Metric,Scenario,Period,Value_Low,Value_Median,Value_High
CHN,tas_JJA,ssp2-45,Next decades 2020-2039,76.7242332717633,77.3891737586838,78.1725994259517
CHN,tas_JJA,ssp2-45,Midcentury 2040-2059,77.6385278085216,78.468259624127,79.3907868532644
CHN,tas_JJA,ssp2-45,End of century 2080-2099,78.5617477733615,80.013338794359,81.204315666476
CIV,tas_JJA,ssp2-45,Historical 1986-2005,77.2936679436231,77.5849567221157,77.7047103133766
CIV,tas_JJA,ssp2-45,Next decades 2020-2039,78.5725422588544,78.8133409320417,79.2967504137552
CIV,tas_JJA,ssp2-45,Midcentury 2040-2059,79.1906128199114,79.5438027568353,80.1954457414773
CIV,tas_JJA,ssp2-45,End of century 2080-2099,79.8362122599524,80.6484568783229,81.6985832667564
CLP,tas_JJA,ssp2-45,Historical 1986-2005,78.7755485565915,79.0963797433035,79.3143798828124
CLP,tas_JJA,ssp2-45,Next decades 2020-2039,80.0604064947102,80.3711356784986,80.7157958930746
CLP,tas_JJA,ssp2-45,Midcentury 2040-2059,80.6476806651265,81.1351440429686,81.6407521961774
CLP,tas_JJA,ssp2-45,End of century 2080-2099,81.2868041999508,82.0595336914061,83.1023192988518
CMR,tas_JJA,ssp2-45,Historical 1986-2005,74.4900935543945,74.7544691471205,74.9238999531916
CMR,tas_JJA,ssp2-45,Next decades 2020-2039,75.7640823906106,76.0070851286118,76.463631266254
CMR,tas_JJA,ssp2-45,Midcentury 2040-2059,76.3079873453085,76.7496422676478,77.4156969630897
CMR,tas_JJA,ssp2-45,End of century 2080-2099,76.9633239169688,77.8739504515898,78.7965645266426
COD,tas_JJA,ssp2-45,Historical 1986-2005,74.0763338182794,74.3516842089015,74.6597485711269
COD,tas_JJA,ssp2-45,Next decades 2020-2039,75.1630226044985,75.9327511843044,76.3285280714817
COD,tas_JJA,ssp2-45,Midcentury 2040-2059,75.6181928725639,76.7385555156258,77.270439173415
COD,tas_JJA,ssp2-45,End of century 2080-2099,76.458492498577,78.0841107721578,79.2341898441529
COG,tas_JJA,ssp2-45,Historical 1986-2005,74.5811346711424,74.8765104015716,74.9975489981339
COG,tas_JJA,ssp2-45,Next decades 2020-2039,75.8715256130142,76.1767212771153,76.5015274577435
COG,tas_JJA,ssp2-45,Midcentury 2040-2059,76.605551200887,77.0580492923933,77.7728477467807
COG,tas_JJA,ssp2-45,End of century 2080-2099,77.2969912626735,78.2697854982495,79.1177180287716
COK,tas_JJA,ssp2-45,Historical 1986-2005,76.1032323357893,76.5006980306788,76.7294804111465
COK,tas_JJA,ssp2-45,Next decades 2020-2039,77.0749576348531,77.411140587375,77.7885939278127
COK,tas_JJA,ssp2-45,Midcentury 2040-2059,77.4795906735095,77.8975225562656,78.3472655243025
COK,tas_JJA,ssp2-45,End of century 2080-2099,77.8430323524177,78.515439867075,79.4036309230217
